asof,cpi_yoy
2014-03-01,0.0259903005368085
2014-04-01,0.8369725845064129
2014-05-01,0.5617963750904023
2014-06-01,0.1812134743336393
2014-07-01,0.0161408122275821
2014-08-01,0.1193669782292567
2014-09-01,0.3991763191763191
2014-10-01,0.7271871591603682
2014-11-01,0.0689393988385478
2014-12-01,-0.4962543349829796
2015-01-01,0.0011862728146356
2015-02-01,-1.0223110243805429
2015-03-01,-1.048695181797682
2015-04-01,-1.1021666705925366
2015-05-01,-1.0187733415071702
2015-06-01,-0.9402747906835796
2015-07-01,-0.9148885550529056
2015-08-01,-0.8852213830105831
2015-09-01,-1.0217923794829542
2015-10-01,-0.8975125274883737
2015-11-01,-0.6205270143040258
2015-12-01,-0.0356553200095705
2016-01-01,0.0126158322955893
2016-02-01,-41.50139275766017
2016-03-01,-12.577549329820608
2016-04-01,-6.6391685921500425
2016-05-01,-26.525830766533943
2016-06-01,7.05783261022372
2016-07-01,3.877861650056023
2016-08-01,4.448433711470737
2016-09-01,-41.51436479380016
2016-10-01,8.5910748414178
2016-11-01,2.372944890174931
2016-12-01,1.843817852834741
2017-01-01,0.0213010966801141
2017-02-01,1.6900746708587149
2017-03-01,1.7923888258091156
2017-04-01,0.9550888357582812
2017-05-01,0.8393365007951357
2017-06-01,0.6378676581178071
2017-07-01,1.0891023153303134
2017-08-01,0.8242728448782781
2017-09-01,0.5254737037705017
2017-10-01,0.247643014496439
2017-11-01,0.3013499852588157
2017-12-01,0.0166102547837627
2018-01-01,0.0244258337245519
2018-02-01,-0.1921735103314221
2018-03-01,-0.0087796751423584
2018-04-01,0.1195868508744413
2018-05-01,0.4939702743325165
2018-06-01,0.757924147590922
2018-07-01,0.70691698621163
2018-08-01,0.3920661133155989
2018-09-01,0.0197083338558079
2018-10-01,0.2358209598707381
2018-11-01,-0.0117961502472326
2018-12-01,-0.0943173380646176
2019-01-01,0.0181220986045496
2019-02-01,-0.3127143338329275
2019-03-01,-0.2106986830166914
2019-04-01,-0.1893432691339416
2019-05-01,-0.360863859205173
2019-06-01,-0.4259246232345759
2019-07-01,-0.3858430962378559
2019-08-01,-0.3517364532932224
2019-09-01,-0.2484294932041325
2019-10-01,-0.3006683924883151
2019-11-01,-0.0575773878630028
2019-12-01,0.1963035537879307
2020-01-01,0.0123358516811855
2020-02-01,0.5359648978544669
2020-03-01,-0.173525910820967
2020-04-01,-0.8351580813848651
2020-05-01,-0.9341279434798248
2020-06-01,-0.6082870029147975
2020-07-01,-0.4556439125238412
2020-08-01,-0.2515373361222554
2020-09-01,-0.1986670990852012
2020-10-01,-0.3299108921948047
2020-11-01,-0.427412569139824
2020-12-01,-0.4039704524469067
2021-01-01,0.0469785863741649
2021-02-01,-0.2820961645039518
2021-03-01,0.7018885525947378
2021-04-01,11.639723242691366
2021-05-01,41.33762698641521
2021-06-01,7.3493502732553555
2021-07-01,4.441205700945763
2021-08-01,3.009691175852999
2021-09-01,2.9307596667456655
2021-10-01,4.2635546576925485
2021-11-01,4.797185441740398
2021-12-01,4.166209375149137
2022-01-01,0.0800279953358917
2022-02-01,3.695736525445721
2022-03-01,2.2607743524891375
2022-04-01,0.9853929194327952
2022-05-01,0.718809455471751
2022-06-01,0.6803932744635908
2022-07-01,0.5888276434052904
2022-08-01,0.5734650576088993
2022-09-01,0.5215471206038793
2022-10-01,0.2448714365410136
2022-11-01,0.0442531748040058
2022-12-01,-0.0827129998097039
2023-01-01,0.0411633883984321
2023-02-01,-0.2331896932867018
2023-03-01,-0.4164472137755231
2023-04-01,-0.4030098700401726
2023-05-01,-0.5283338180963915
2023-06-01,-0.6722674049350987
2023-07-01,-0.6272317932999133
2023-08-01,-0.5564264580567135
2023-09-01,-0.548909185568305
2023-10-01,-0.5815408240242921
2023-11-01,-0.5587723651935361
2023-12-01,-0.4806453766972334
2024-01-01,-0.9778805064076852
2024-02-01,-0.4775723692025979
2024-03-01,-0.3024266525763224
2024-04-01,-0.3190373038666861
2024-05-01,-0.1923555363178606
2024-06-01,0.0007473448880466
2024-07-01,-0.0890643782766584
2024-08-01,-0.3095081405424991
2024-09-01,-0.3403156149501932
2024-10-01,-0.1984607291559001
