asof,actual_return
2019-01-01,0.029728889343927145
2019-02-01,-0.01487522742773928
2019-03-01,0.1450600612427535
2019-11-01,0.02858981890573009
2019-12-01,-0.0016280928190489652
2020-01-01,-0.08411048363840312
2020-02-01,0.006143803326891462
2020-03-01,0.21843166901413302
2020-11-01,0.03712145909357001
2020-12-01,-0.011136660755445171
2021-01-01,0.026091451377448394
2021-02-01,0.03468511838528876
2021-03-01,0.15815524357752864
2021-11-01,0.04361291346206486
2021-12-01,-0.052585165027393854
2022-01-01,-0.031360491945908286
2022-02-01,-0.03878194147264924
2022-03-01,-0.029541101736301867
2022-11-01,-0.05897147407473047
2022-12-01,0.0617528578346791
2023-01-01,-0.02611249393181858
2023-02-01,-0.027344008947631337
2023-03-01,0.18288054939115472
2023-11-01,0.04422923115636013
