geo,ds,cpi_index,spx_close,spx_ret_1m,cpi_mom,cpi_yoy
Ireland,2004-12-01,2.680653,1211.9200439453125,0.03245821284320516,-0.08321679684894923,0.4106932921034101
Ireland,2005-01-01,93.13734,1181.27001953125,-0.025290467442294018,33.744273130464855,0.024296920066529948
Ireland,2005-02-01,2.32288,1203.5999755859375,0.018903346132113308,-0.9750596269981513,0.40534202758436266
Ireland,2005-03-01,2.080925,1180.5899658203125,-0.01911765556028966,-0.10416164416586304,0.4791903611032131
Ireland,2005-04-01,2.306805,1172.9200439453125,-0.006496685637735977,0.10854788135084159,0.6435982954152772
Ireland,2005-05-01,2.416571,,0.0,0.04758356254646556,0.3758346428002095
Ireland,2005-06-01,2.173913,,0.0,-0.10041418191313212,-0.021739052173905038
Ireland,2005-07-01,2.411022,,0.0,0.10907014218140265,-0.06956474087749542
Ireland,2005-08-01,2.166477,,0.0,-0.10142794217555873,-0.19557754172718922
Ireland,2005-09-01,3.078677,,0.0,0.4210522428809538,0.19648602716024532
Ireland,2005-10-01,2.961276,1207.010009765625,0.029064185573677515,-0.03813358790155641,0.1008223614509427
Ireland,2005-11-01,2.613636,1249.47998046875,0.035186096519093324,-0.11739533903628019,-0.10613660777769451
Ireland,2005-12-01,2.383655,1248.2900390625,-0.0009523493171964548,-0.0879927426772511,-0.11079315375768517
Ireland,2006-01-01,96.799165,1280.0799560546875,0.025466771341108085,39.60955339594027,0.03931640091933053
Ireland,2006-02-01,3.178207,1280.6600341796875,0.0004531577283561905,-0.9671669998393064,0.36821833241493307
Ireland,2006-03-01,3.397508,1294.8699951171875,0.011095810408889628,0.06900148417016272,0.632691231063109
Ireland,2006-04-01,3.833145,,0.0,0.12822250896833798,0.6616684115042233
Ireland,2006-05-01,3.932584,,0.0,0.025941883231654472,0.6273405581710614
Ireland,2006-06-01,3.807391,,0.0,-0.03183479361152863,0.7513998950279976
Ireland,2006-07-01,4.26009,,0.0,0.11890005518214442,0.7669229065516614
Ireland,2006-08-01,4.464286,,0.0,0.04793232067867126,1.060620075818945
Ireland,2006-09-01,3.982301,,0.0,-0.1079646330902635,0.29351049168197907
Ireland,2006-10-01,3.871681,1377.93994140625,0.06415311699422355,-0.027777910308638076,0.30743672660029
Ireland,2006-11-01,4.429679,1400.6300048828125,0.016466656343095964,0.1441229274829201,0.694833940150809
Ireland,2006-12-01,4.988914,1418.300048828125,0.012615782814670462,0.1262472969260302,1.092968151850834
Ireland,2007-01-01,101.539532,1438.239990234375,0.014059043023177953,19.353033145089288,0.04897115589788403
Ireland,2007-02-01,4.840484,1406.8199462890625,-0.021846175991944383,-0.9523290692338429,0.5230235160894177
Ireland,2007-03-01,5.147864,1402.8399658203125,-0.002829061728367166,0.06350191427138285,0.515188190874017
Ireland,2007-04-01,4.994571,,0.0,-0.029777981702702405,0.3029955819568526
Ireland,2007-05-01,4.972973,,0.0,-0.00432429531985834,0.26455607814098814
Ireland,2007-06-01,4.962244,,0.0,-0.0021574619447962684,0.3033187292820727
Ireland,2007-07-01,4.946237,,0.0,-0.003225758346425578,0.16106396813212864
Ireland,2007-08-01,4.700855,,0.0,-0.04960983470868874,0.052991452608546874
Ireland,2007-09-01,4.574468,,0.0,-0.026885960107256968,0.14869970903756413
Ireland,2007-10-01,4.898829,,0.0,0.07090682457501063,0.2652976833576939
Ireland,2007-11-01,4.984093,1481.1400146484375,0.0558153821789209,0.01740497576053368,0.12515895621330553
Ireland,2007-12-01,4.646251,1468.3599853515625,-0.008628508561297932,-0.0677840481708506,-0.06868488813397067
Ireland,2008-01-01,105.662347,1378.550048828125,-0.06116343227776988,21.741420340829627,0.04060305300599576
Ireland,2008-02-01,4.826863,1330.6300048828125,-0.03476119273728817,-0.9543180410331034,-0.0028139748008669807
Ireland,2008-03-01,5.0,1293.3699951171875,-0.02800178083231064,0.035869466359413904,-0.028723369537346
Ireland,2008-04-01,4.34333,,0.0,-0.13133400000000006,-0.13038977722010558
Ireland,2008-05-01,4.634398,,0.0,0.06701494014960874,-0.06808301593433141
Ireland,2008-06-01,4.933196,,0.0,0.06447396188242771,-0.005853803239018518
Ireland,2008-07-01,4.405738,,0.0,-0.1069201385876416,-0.10927478808637747
Ireland,2008-08-01,4.387755,,0.0,-0.004081722517317199,-0.06660490485241499
Ireland,2008-09-01,4.374364,,0.0,-0.00305190239655595,-0.043743665930114806
Ireland,2008-10-01,3.959391,,0.0,-0.0948647620545523,-0.19176786942348878
Ireland,2008-11-01,2.525253,896.239990234375,-0.307050578242949,-0.3622117643849774,-0.49333750393501885
Ireland,2008-12-01,1.10999,903.25,0.007821576633499472,-0.56044404263652,-0.7610998630939224
