ds,geo,metric,value
2008-11-01,Algeria,CPI_Index,5.210416
2008-11-01,Algeria,CPI_Index,93.232
2008-12-01,Algeria,CPI_Index,4.862759
2008-12-01,Algeria,CPI_Index,93.3935
2009-01-01,Algeria,CPI_Index,96.236142
2009-01-01,Algeria,CPI_Index,5.74061
2009-01-01,Algeria,CPI_Index,5.517689
2009-01-01,Algeria,CPI_Index,93.21
2009-02-01,Algeria,CPI_Index,6.168608
2009-02-01,Algeria,CPI_Index,94.6267
2009-03-01,Algeria,CPI_Index,5.599675
2009-03-01,Algeria,CPI_Index,95.7939
2009-04-01,Algeria,CPI_Index,5.824681
2009-04-01,Algeria,CPI_Index,96.0214
2009-05-01,Algeria,CPI_Index,3.581252
2009-05-01,Algeria,CPI_Index,93.8413
2009-06-01,Algeria,CPI_Index,4.873712
2009-06-01,Algeria,CPI_Index,94.1423
2009-07-01,Algeria,CPI_Index,7.290473
2009-07-01,Algeria,CPI_Index,95.603
2009-08-01,Algeria,CPI_Index,6.499418
2009-08-01,Algeria,CPI_Index,97.1886
2009-09-01,Algeria,CPI_Index,5.813554
2009-09-01,Algeria,CPI_Index,98.3337
2009-10-01,Algeria,CPI_Index,6.018503
2009-10-01,Algeria,CPI_Index,98.5319
2009-11-01,Algeria,CPI_Index,5.944418
2009-11-01,Algeria,CPI_Index,98.7741
2009-12-01,Algeria,CPI_Index,5.753398
2009-12-01,Algeria,CPI_Index,98.7668
2010-01-01,Algeria,CPI_Index,100.0
2010-01-01,Algeria,CPI_Index,3.911065
2010-01-01,Algeria,CPI_Index,5.150413
2010-01-01,Algeria,CPI_Index,98.0107
2010-02-01,Algeria,CPI_Index,4.150203
2010-02-01,Algeria,CPI_Index,98.5539
2010-03-01,Algeria,CPI_Index,3.670484
2010-03-01,Algeria,CPI_Index,99.31
2010-04-01,Algeria,CPI_Index,2.461639
2010-04-01,Algeria,CPI_Index,98.3851
2010-05-01,Algeria,CPI_Index,6.273464
2010-05-01,Algeria,CPI_Index,99.7284
2010-06-01,Algeria,CPI_Index,6.105226
2010-06-01,Algeria,CPI_Index,99.8899
2010-07-01,Algeria,CPI_Index,3.961905
2010-07-01,Algeria,CPI_Index,99.3907
2010-08-01,Algeria,CPI_Index,3.957666
2010-08-01,Algeria,CPI_Index,101.035
2010-09-01,Algeria,CPI_Index,2.478398
2010-09-01,Algeria,CPI_Index,100.7708
2010-10-01,Algeria,CPI_Index,2.816042
2010-10-01,Algeria,CPI_Index,101.3066
2010-11-01,Algeria,CPI_Index,3.425999
2010-11-01,Algeria,CPI_Index,102.1581
2010-12-01,Algeria,CPI_Index,2.727637
2010-12-01,Algeria,CPI_Index,101.4608
2011-01-01,Algeria,CPI_Index,104.528483
2011-01-01,Algeria,CPI_Index,4.528483
2011-01-01,Algeria,CPI_Index,3.572467
2011-01-01,Algeria,CPI_Index,101.5121
2011-02-01,Algeria,CPI_Index,3.4783
2011-02-01,Algeria,CPI_Index,101.9819
2011-03-01,Algeria,CPI_Index,3.437015
2011-03-01,Algeria,CPI_Index,102.7233
2011-04-01,Algeria,CPI_Index,4.536256
2011-04-01,Algeria,CPI_Index,102.8481
2011-05-01,Algeria,CPI_Index,3.879035
2011-05-01,Algeria,CPI_Index,103.5969
2011-06-01,Algeria,CPI_Index,3.688962
2011-06-01,Algeria,CPI_Index,103.5748
2011-07-01,Algeria,CPI_Index,5.221615
2011-07-01,Algeria,CPI_Index,104.5805
2011-08-01,Algeria,CPI_Index,5.717821
2011-08-01,Algeria,CPI_Index,106.812
2011-09-01,Algeria,CPI_Index,5.128172
2011-09-01,Algeria,CPI_Index,105.9385
2011-10-01,Algeria,CPI_Index,5.463415
2011-10-01,Algeria,CPI_Index,106.8414
2011-11-01,Algeria,CPI_Index,4.922077
2011-11-01,Algeria,CPI_Index,107.1864
2011-12-01,Algeria,CPI_Index,5.209007
2011-12-01,Algeria,CPI_Index,106.7459
2012-01-01,Algeria,CPI_Index,113.817933
2012-01-01,Algeria,CPI_Index,8.887004
2012-01-01,Algeria,CPI_Index,7.534964
2012-01-01,Algeria,CPI_Index,109.161
2012-02-01,Algeria,CPI_Index,9.342834
2012-02-01,Algeria,CPI_Index,111.5099
2012-03-01,Algeria,CPI_Index,10.125843
2012-03-01,Algeria,CPI_Index,113.1249
2012-04-01,Algeria,CPI_Index,10.97716
2012-04-01,Algeria,CPI_Index,114.1379
2012-05-01,Algeria,CPI_Index,8.977489
2012-05-01,Algeria,CPI_Index,112.8973
2012-06-01,Algeria,CPI_Index,8.674697
2012-06-01,Algeria,CPI_Index,112.5596
2012-07-01,Algeria,CPI_Index,8.205258
2012-07-01,Algeria,CPI_Index,113.1616
2012-08-01,Algeria,CPI_Index,7.188518
2012-08-01,Algeria,CPI_Index,114.4902
2012-09-01,Algeria,CPI_Index,8.716755
2012-09-01,Algeria,CPI_Index,115.1729
2012-10-01,Algeria,CPI_Index,9.89345
2012-10-01,Algeria,CPI_Index,117.4117
2012-11-01,Algeria,CPI_Index,8.087873
2012-11-01,Algeria,CPI_Index,115.8555
2012-12-01,Algeria,CPI_Index,8.980954
2012-12-01,Algeria,CPI_Index,116.3327
2013-01-01,Algeria,CPI_Index,117.521825
2013-01-01,Algeria,CPI_Index,3.254225
2013-01-01,Algeria,CPI_Index,7.813871
2013-01-01,Algeria,CPI_Index,117.6907
2013-02-01,Algeria,CPI_Index,5.384813
2013-02-01,Algeria,CPI_Index,117.5145
2013-03-01,Algeria,CPI_Index,4.41238
2013-03-01,Algeria,CPI_Index,118.1164
2013-04-01,Algeria,CPI_Index,3.061209
2013-04-01,Algeria,CPI_Index,117.6319
2013-05-01,Algeria,CPI_Index,3.452518
2013-05-01,Algeria,CPI_Index,116.7951
2013-06-01,Algeria,CPI_Index,4.486779
2013-06-01,Algeria,CPI_Index,117.6099
2013-07-01,Algeria,CPI_Index,3.515769
2013-07-01,Algeria,CPI_Index,117.1401
2013-08-01,Algeria,CPI_Index,3.276263
2013-08-01,Algeria,CPI_Index,118.2412
2013-09-01,Algeria,CPI_Index,2.173341
2013-09-01,Algeria,CPI_Index,117.676
2013-10-01,Algeria,CPI_Index,0.12503
2013-10-01,Algeria,CPI_Index,117.5585
2013-11-01,Algeria,CPI_Index,0.659011
2013-11-01,Algeria,CPI_Index,116.619
2013-12-01,Algeria,CPI_Index,1.148344
2013-12-01,Algeria,CPI_Index,117.6686
2014-01-01,Algeria,CPI_Index,120.949867
2014-01-01,Algeria,CPI_Index,2.91694
2014-01-01,Algeria,CPI_Index,0.667342
2014-01-01,Algeria,CPI_Index,118.4761
2014-02-01,Algeria,CPI_Index,0.562143
2014-02-01,Algeria,CPI_Index,118.1751
2014-03-01,Algeria,CPI_Index,0.863894
2014-03-01,Algeria,CPI_Index,119.1368
2014-04-01,Algeria,CPI_Index,0.680258
2014-04-01,Algeria,CPI_Index,118.4321
2014-05-01,Algeria,CPI_Index,1.70949
2014-05-01,Algeria,CPI_Index,118.7917
2014-06-01,Algeria,CPI_Index,2.796193
2014-06-01,Algeria,CPI_Index,120.8985
2014-07-01,Algeria,CPI_Index,3.321237
2014-07-01,Algeria,CPI_Index,121.0306
2014-08-01,Algeria,CPI_Index,2.725361
2014-08-01,Algeria,CPI_Index,121.4637
2014-09-01,Algeria,CPI_Index,3.94235
2014-09-01,Algeria,CPI_Index,122.3152
2014-10-01,Algeria,CPI_Index,6.125546
2014-10-01,Algeria,CPI_Index,124.7596
2014-11-01,Algeria,CPI_Index,6.388839
2014-11-01,Algeria,CPI_Index,124.0696
