ds,spx_close
2009-09-01 05:00:00,
2009-10-01 05:00:00,
2009-11-01 05:00:00,1095.6300048828125
2009-12-01 05:00:00,1115.0999755859375
2010-01-01 05:00:00,1073.8699951171875
2010-02-01 05:00:00,1104.489990234375
2010-03-01 05:00:00,1149.989990234375
2010-04-01 05:00:00,
2010-05-01 05:00:00,
2010-06-01 05:00:00,
2010-07-01 05:00:00,
2010-08-01 05:00:00,
2010-09-01 05:00:00,
2010-10-01 05:00:00,
2010-11-01 05:00:00,1180.550048828125
2010-12-01 05:00:00,1257.6400146484375
2011-01-01 05:00:00,1286.1199951171875
2011-02-01 05:00:00,1327.219970703125
2011-03-01 05:00:00,1304.280029296875
2011-04-01 05:00:00,
2011-05-01 05:00:00,
2011-06-01 05:00:00,
2011-07-01 05:00:00,
2011-08-01 05:00:00,
2011-09-01 05:00:00,
2011-10-01 05:00:00,
2011-11-01 05:00:00,1246.9599609375
2011-12-01 05:00:00,1257.5999755859375
2012-01-01 05:00:00,1312.4100341796875
2012-02-01 05:00:00,1365.6800537109375
2012-03-01 05:00:00,1370.8699951171875
2012-04-01 05:00:00,
2012-05-01 05:00:00,
2012-06-01 05:00:00,
2012-07-01 05:00:00,
2012-08-01 05:00:00,
2012-09-01 05:00:00,
2012-10-01 05:00:00,
2012-11-01 05:00:00,1416.1800537109375
2012-12-01 05:00:00,1426.18994140625
2013-01-01 05:00:00,1498.1099853515625
2013-02-01 05:00:00,1514.6800537109375
2013-03-01 05:00:00,1551.1800537109375
2013-04-01 05:00:00,
2013-05-01 05:00:00,
2013-06-01 05:00:00,
2013-07-01 05:00:00,
2013-08-01 05:00:00,
2013-09-01 05:00:00,
2013-10-01 05:00:00,
2013-11-01 05:00:00,1805.81005859375
2013-12-01 05:00:00,1848.3599853515625
2014-01-01 05:00:00,1782.5899658203125
2014-02-01 05:00:00,1859.449951171875
2014-03-01 05:00:00,1878.0400390625
2014-04-01 05:00:00,
2014-05-01 05:00:00,
2014-06-01 05:00:00,
2014-07-01 05:00:00,
2014-08-01 05:00:00,
2014-09-01 05:00:00,
2014-10-01 05:00:00,
2014-11-01 05:00:00,2067.56005859375
2014-12-01 05:00:00,2058.89990234375
2015-01-01 05:00:00,1994.989990234375
2015-02-01 05:00:00,2104.5
2015-03-01 05:00:00,2071.260009765625
2015-04-01 05:00:00,
2015-05-01 05:00:00,
2015-06-01 05:00:00,
2015-07-01 05:00:00,
2015-08-01 05:00:00,
2015-09-01 05:00:00,
2015-10-01 05:00:00,
2015-11-01 05:00:00,2080.409912109375
2015-12-01 05:00:00,2043.93994140625
2016-01-01 05:00:00,1940.239990234375
2016-02-01 05:00:00,1932.22998046875
2016-03-01 05:00:00,2022.18994140625
2016-04-01 05:00:00,
2016-05-01 05:00:00,
2016-06-01 05:00:00,
2016-07-01 05:00:00,
2016-08-01 05:00:00,
2016-09-01 05:00:00,
2016-10-01 05:00:00,
2016-11-01 05:00:00,2198.81005859375
2016-12-01 05:00:00,2238.830078125
2017-01-01 05:00:00,2278.8701171875
2017-02-01 05:00:00,2363.639892578125
2017-03-01 05:00:00,2372.60009765625
2017-04-01 05:00:00,
2017-05-01 05:00:00,
2017-06-01 05:00:00,
2017-07-01 05:00:00,
2017-08-01 05:00:00,
2017-09-01 05:00:00,
2017-10-01 05:00:00,
2017-11-01 05:00:00,2647.580078125
2017-12-01 05:00:00,2673.610107421875
2018-01-01 05:00:00,2823.81005859375
2018-02-01 05:00:00,2713.830078125
2018-03-01 05:00:00,2786.570068359375
2018-04-01 05:00:00,
2018-05-01 05:00:00,
2018-06-01 05:00:00,
2018-07-01 05:00:00,
2018-08-01 05:00:00,
2018-09-01 05:00:00,
2018-10-01 05:00:00,
2018-11-01 05:00:00,2760.169921875
2018-12-01 05:00:00,2506.85009765625
2019-01-01 05:00:00,2704.10009765625
2019-02-01 05:00:00,2784.489990234375
2019-03-01 05:00:00,2743.070068359375
2019-04-01 05:00:00,
2019-05-01 05:00:00,
2019-06-01 05:00:00,
2019-07-01 05:00:00,
2019-08-01 05:00:00,
2019-09-01 05:00:00,
2019-10-01 05:00:00,
2019-11-01 05:00:00,3140.97998046875
2019-12-01 05:00:00,3230.780029296875
2020-01-01 05:00:00,3225.52001953125
2020-02-01 05:00:00,2954.219970703125
2020-03-01 05:00:00,2972.3701171875
2020-04-01 05:00:00,
2020-05-01 05:00:00,
2020-06-01 05:00:00,
2020-07-01 05:00:00,
2020-08-01 05:00:00,
2020-09-01 05:00:00,
2020-10-01 05:00:00,
2020-11-01 05:00:00,3621.6298828125
2020-12-01 05:00:00,3756.070068359375
2021-01-01 05:00:00,3714.239990234375
2021-02-01 05:00:00,3811.14990234375
2021-03-01 05:00:00,3943.340087890625
2021-04-01 05:00:00,
2021-05-01 05:00:00,
2021-06-01 05:00:00,
2021-07-01 05:00:00,
2021-08-01 05:00:00,
2021-09-01 05:00:00,
2021-10-01 05:00:00,
2021-11-01 05:00:00,4567.0
2021-12-01 05:00:00,4766.18017578125
2022-01-01 05:00:00,4515.5498046875
2022-02-01 05:00:00,4373.93994140625
2022-03-01 05:00:00,4204.31005859375
2022-04-01 05:00:00,
2022-05-01 05:00:00,
2022-06-01 05:00:00,
2022-07-01 05:00:00,
2022-08-01 05:00:00,
2022-09-01 05:00:00,
2022-10-01 05:00:00,
2022-11-01 05:00:00,4080.110107421875
2022-12-01 05:00:00,3839.5
2023-01-01 05:00:00,4076.60009765625
2023-02-01 05:00:00,3970.14990234375
2023-03-01 05:00:00,3861.590087890625
2023-04-01 05:00:00,
2023-05-01 05:00:00,
2023-06-01 05:00:00,
2023-07-01 05:00:00,
2023-08-01 05:00:00,
2023-09-01 05:00:00,
2023-10-01 05:00:00,
2023-11-01 05:00:00,4567.7998046875
2023-12-01 05:00:00,4769.830078125
2024-01-01 05:00:00,4845.64990234375
2024-02-01 05:00:00,5096.27001953125
2024-03-01 05:00:00,5123.68994140625
2024-04-01 05:00:00,
2024-05-01 05:00:00,
2024-06-01 05:00:00,
2024-07-01 05:00:00,
2024-08-01 05:00:00,
2024-09-01 05:00:00,
2024-10-01 05:00:00,
2024-11-01 05:00:00,6032.3798828125
2024-12-01 05:00:00,5881.6298828125
2025-01-01 05:00:00,6040.52978515625
2025-02-01 05:00:00,5954.5
2025-03-01 05:00:00,5770.2001953125
